,County,Area in Square Km.,Density,Females,Males,No of HouseHolds,Total Population,% population,Mobile Subcriptions
0,BARINGO,11015.34,50.44,276480,279081,110649,555561,1.438900813950299,913702
1,BOMET,2471.3,293.04,364459,359727,142361,724186,1.8756389034712864,1191030
2,BUNGOMA,3592.76,453.95,835339,795595,321628,1630934,4.224112671874406,2682311
3,BUSIA,1134.42,430.24,256000,232075,103421,488075,1.2641123382829107,802711
4,ELGEYO MARAKWET,3029.78,122.12,186260,183738,77555,369998,0.9582933707729354,608516
5,EMBU,2818.04,183.18,261909,254303,131683,516212,1.336987058074472,848986
6,GARISSA,44175.02,14.1,288121,334939,98590,623060,1.6137229595667681,1024714
7,HOMA BAY,3183.29,302.76663452,501340,462454,206255,963794,2.496222684962434,1585101
8,ISIOLO,25336.07,5.66,69600,73694,31326,143294,0.37113089873874183,235668
9,KAJIADO,21900.97,31.38,342166,345146,173464,687312,1.780135387901253,1130385
10,KAKAMEGA,3051.23,544.26,859662,800989,355679,1660651,4.301079585477343,2731185
11,KERICHO,2478.99,305.91,376359,381980,160134,758339,1.9640950396990715,1247200
12,KIAMBU,2543.42,638.23,820673,802609,469244,1623282,4.204294021846151,2669726
13,KILIFI,12609.74,88.01,574209,535526,199764,1109735,2.8742093033332705,1825122
14,KIRINYAGA,1479.09,357.01,267424,260630,154220,528054,1.3676577916911217,868462
15,KISII,1317.53,874.58,601818,550464,245029,1152282,2.984405866683008,1895097
16,KISUMU,2085.93,464.5,494149,474760,226719,968909,2.5094705149277403,1593513
17,KITUI,30496.51,33.21,531427,481282,205491,1012709,2.6229123433696633,1665549
18,KWALE,8270.15,78.59,333934,315997,122047,649931,1.6833187443170627,1068907
19,LAIKIPIA,9461.92,42.19,200602,198625,103114,399227,1.0339963662872953,656587
20,LAMU,6273.12,16.19,48494,53045,22184,101539,0.2629856122868585,166995
21,MACHAKOS,6208.24,176.96,555445,543139,264500,1098584,2.8453282570100766,1806783
22,MAKUENI,8008.75,110.45,453817,430710,186478,884527,2.290921465439468,1454735
23,MANDERA,25991.47,39.47,465813,559943,125497,1025756,2.6567040222665073,1687007
24,MARSABIT,70961.19,4.1,140054,151112,56941,291166,0.7541187995461395,478865
25,MERU,6936.24,195.54,685645,670656,319616,1356301,3.5128142775709676,2230637
26,MIGORI,2596.44,353.241361248,472814,444356,180211,917170,2.375466707581698,1508421
27,MOMBASA,218.86,4292.09,452446,486924,268700,939370,2.432964620627604,1544932
28,MURANGA,2558.82,368.37,484717,457864,255696,942581,2.4412810980505952,1550213
29,NAIROBI,695.1,4514.96,1533139,1605230,985016,3138369,8.128363417476002,5161510
30,NAKURU,7495.07,213.92,798743,804582,409836,1603325,4.1526054700147474,2636904
31,NANDI,2884.18,261.07,376477,376488,154073,752965,1.950176400748229,1238362
32,NAROK,17933.05,47.45,421894,429026,169220,850920,2.2038794670730817,1399463
33,NYAMIRA,899.33,665.22,311204,287048,131039,598252,1.5494703367360096,983913
34,NYANDARUA,3245.25,183.74,304113,292155,143879,596268,1.5443317845070423,980650
35,NYERI,3337.09,207.83,353833,339725,201703,693558,1.796312503436601,1140658
36,SAMBURU,21022.15,10.65,111940,112007,47354,223947,0.5800218528329519,368313
37,SIAYA,2530.38,332.88,443652,398652,199034,842304,2.181564060820671,1385293
38,TAITA TAVETA,17084.04,16.66,139323,145334,71090,284657,0.737260515040923,468160
39,TANA RIVER,38436.91,6.25,120222,119853,47414,240075,0.6217933096619779,394838
40,THARAKA,2638.83,138.44,186879,178451,88803,365330,0.9462032690567963,600839
41,TRANS-NZOIA,2495.53,328.09,411585,407172,170117,818757,2.1205774230507632,1346566
42,TURKANA,68680.29,12.45,410330,445069,123191,855399,2.2154800595295057,1406829
43,UASIN GISHU,3345.21,267.3,445185,448994,202291,894179,2.3159201076340215,1470609
44,VIHIGA,530.9,1044.68,291906,262716,123347,554622,1.4364688076282222,912157
45,WAJIR,56685.83,11.68,298175,363766,88574,661941,1.7144245972756815,1088659
46,WEST POKOT,9169.41,55.91,257863,254827,93777,512690,1.3278650918696215,843194
